id,name
2975,Laurence Fishburne
6384,Thomas A. Anderson / Neo
530,Trinity
1107983,Himself (archive footage)
52057,Narrator
110380,Himself
8349,Captain Benjamin L. Willard
3084,Colonel Walter E. Kurtz
3087,Lieutenant Colonel Bill Kilgore
18355,
64,Himself
1776,Himself
564,Himself
584,Himself (Archive footage)
529,Leonard Shelby
532,John Edward "Teddy" Gammell
180659,
1280183,
2787630,Self/Narrator
89289,Self/Cameo (archive footage)
2102583,Himself
73988,Himself
2803017,Self (archive footage)
2954,Narrator
33663,Himself (archive footage)
937663,Self
1931175,Self
1700943,Self
938972,Self
1236595,Self
559610,Self
2198533,Self
2699648,Self
1209864,Self - Narrator (voice)
2685726,Green Book Excerpts Narrator (voice)
2764421,Self - Smithsonian Institute Member
2535,Detective Martin
225620,Richard Lazard
1038,Clarice M. Starling
4173,Dr. Hannibal Lecter
349,Jack Crawford
4587,On-Camera Host
9780,(voice)
19011,Self
146687,Self
1122373,Himself
1122374,Himself
1122375,Himself
11367,Josh Lyman
31028,Toby Ziegler
3266,Joey Franelli
36059,Brenda Franelli
1179102,herself
21010,June Michels
101032,
928944,Himself
2022250,Himself
9979,Himself
514,Francis "Frank" Costello
6193,William "Billy" Costigan Jr.
1892,Staff Sgt. Colin Sullivan
7796,Mary (voice)
851784,Violet (voice)
125025,Jessie (voice)
122889,John Joseph Alden (voice)
2641,Roy Tilden
72028,Moshe
4724,Charles Cooper
66743,Jeff Zarrillo
1461,David Boies
2098136,Himself
2098137,Himself
9857,Father Barry
5248,Johnny Friendly
1158,Don Michael Corleone
3085,Santino "Sonny" Corleone
1662371,Archive Footage
82702,himself
65605,himself
47775,himself
4483,Himself - Narrator
13570,Himself (archive footage)
3417,Himself
6729,Himself
491,Himself
8406,Himself
103829,Arnold Hillerman
515,Ruth Hillerman
380,Don Vito Corleone
84678,Himself (archive footage)
106179,Jeff Dillon
10190,Leona Purdy
5250,Ben Welcome
3810,Himself
72305,Herself
44735,Himself
3037,Narrator
4951,Himself
8487,Atticus Finch
8490,Dill Harris
6838,Sheriff Heck Tate
