"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Health indicators, age-standardized rate, annual estimates",13100453,105-0503,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310045301",1;2,"CURRENT - a cube available to the public and that is current",Occasional,2003-01-01,2014-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Sex,,
3,Indicators,,
4,Characteristics,"30;31;57;58;59;60;61;62;64",

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
1,"Newfoundland and Labrador",[10],2,1,,,
1,"Prince Edward Island",[11],3,1,,,
1,"Nova Scotia",[12],4,1,,,
1,"New Brunswick",[13],5,1,,,
1,Quebec,[24],6,1,,,
1,Ontario,[35],7,1,,,
1,Manitoba,[46],8,1,,,
1,Saskatchewan,[47],9,1,,,
1,Alberta,[48],10,1,,,
1,"British Columbia",[59],11,1,,,
1,Yukon,[60],12,1,,4,
1,"Northwest Territories",[61],13,1,,4,
1,Nunavut,[62],14,1,,4;5,
2,"Both sexes",,1,,,,
2,Males,,2,1,,,
2,Females,,3,1,,,
3,"Perceived health, very good or excellent",,1,,,6,
3,"Perceived mental health, very good or excellent",,2,,,7,
3,"Body mass index, self-reported, adult (18 years and over), overweight",,3,35,,38;39;40;41,
3,"Body mass index, self-reported, adult (18 years and over), obese",,4,35,,38;39;40;41,
3,Arthritis,,7,,,12;13,
3,Diabetes,,8,,,14;15,
3,Asthma,,9,,,16,
3,"High blood pressure",,10,,,17,
3,"Participation and activity limitation, sometimes or often",,13,,,21;65,
3,"Current smoker, daily or occasional",,14,,,22;23;24;25;26;28,
3,"5 or more drinks on one occasion, at least once a month in the past year",,16,,t,32;33,
3,"Physical activity during leisure-time, moderately active or active",,17,,,36;37,
3,"Perceived life stress, quite a lot (15 years and over)",,18,,,10;11,
3,"Sense of belonging to local community, somewhat strong or very strong",,19,,,43,
3,"Exposure to second-hand smoke at home",,20,,,27,
3,"Exposure to second-hand smoke in the past month, in vehicles and/or public places",,21,,,29,
3,"Influenza immunization, less than one year ago",,22,,,47;48,
3,"Has a regular medical doctor",,25,,,44,
3,"Contact with a medical doctor in the past 12 months",,27,,,45;46;65,
3,"Exposure to second-hand smoke in the past month, in vehicles",,29,21,,29,
3,"Exposure to second-hand smoke in the past month, in public places",,30,21,,29,
3,"Pain or discomfort that prevents activities",,33,,,19;20,
3,"Fruit and vegetable consumption, 5 times or more per day",,34,,,34;35,
3,"Body mass index, self-reported, adult (18 years and over), overweight or obese",,35,,,38;39;40;41,
3,"Perceived health, fair or poor",,36,,,6,
3,"Perceived mental health, fair or poor",,37,,,7,
3,"Pain or discomfort by severity, moderate or severe",,38,,,18;19,
3,"Current smoker, daily",,39,14,,22;23;24;26;28,
3,"Physical activity during leisure-time, inactive",,40,,,36;37,
3,"Breastfeeding initiation",,42,,,49;50;65,
3,"Exclusive breastfeeding, at least 6 months",,43,,,49;51;52;65;66,
3,"Mood disorder",,44,,,53,
3,"Life satisfaction, satisfied or very satisfied",,45,,,8;9,
3,"Injuries in the past 12 months causing limitation of normal activities",,48,,,54;55;65,
3,"Injuries in the past 12 months, sought medical attention",,49,48,,54;55;65,
3,"Chronic obstructive pulmonary disease (COPD)",,50,,,56,
3,"Heavy drinking",,51,,,42,
4,"Age-standardized rate",,1,,,,
4,"Low 95% confidence interval, age-standardized rate",,2,,,,
4,"High 95% confidence interval, age-standardized rate",,3,,,,
4,"Statistically different from the Canada rate",,5,,,63,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3226,"Canadian Community Health Survey - Annual Component"

"Subject Code","Subject Name"
13,Health

"Note ID",Note
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS)"
2,"Since 2009, all rates in this table are calculated excluding non-response categories (""refusal"", ""don't know"", and ""not stated"") in the denominator."
4,"Beginning with the 2008 and 2007/2008 reference period, weighting controls on the proportion of Aboriginal and non-Aboriginal as well as capital and non-capital have been put in place for Yukon and the Northwest Territories. Similar controls for Inuit and non-Inuit have also been put in place for Nunavut for the same reference periods. This may affect some of the comparability to previous reference periods where no such controls were in place."
5,"In Nunavut, starting in 2013, the coverage was expanded to represent 92% of the targeted population. Before 2013, the coverage was 71% since the survey covered only the 10 largest communities."
6,"Population aged 12 and over who reported perceiving their own health status as being either excellent or very good or fair or poor, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury but also physical, mental and social well being."
7,"Population aged 12 and over who reported perceiving their own mental health status as being excellent or very good or fair or poor, depending on the indicator. Perceived mental health refers to the perception of a person's mental health in general. Perceived mental health provides a general indication of the population suffering from some form of mental disorder, mental or emotional problems, or distress, not necessarily reflected in perceived health."
8,"Population aged 12 and over who reported being satisfied or very satisfied with their life in general."
9,"In 2009, the question on life satisfaction was changed from a five-point answer category to an eleven-point scale. A grouped variable was developed to provide a concordance between the two scales and is now the basis for this indicator. Please see the variable GENGSWL in the derived variables documentation."
10,"Data for this indicator are collected from population aged 15 years and over only."
11,"Population aged 15 and over who reported perceiving that most days in their life were quite a bit or extremely stressful. Perceived life stress refers to the amount of stress in the person's life, on most days, as perceived by the person or, in the case of proxy response, by the person responding."
12,"Population aged 15 and over who reported that they have been diagnosed by a health professional as having arthritis."
13,"Arthritis includes rheumatoid arthritis and osteoarthritis, but excludes fibromyalgia. In the 2011 French questionnaire, the word ""arthrose"" was added to the arthritis question as respondents tend to associate the word ""arthrite"" with rheumatoid arthritis and ""arthrose"" with degenerative arthritis. This lead to an increase in reported arthritis for 2011. However, the word ""arthrose"" was then omitted from the question in 2012, leading to a decrease in the reported arthritis estimates for the province of Quebec and subsequently at the national level. Therefore, the data for the arthritis indicator in 2011 should be used with caution."
14,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having Type 1 or Type 2 diabetes."
15,"Diabetes includes females 15 and over who reported that they have been diagnosed with gestational diabetes."
16,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having asthma."
17,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having high blood pressure."
18,"Population aged 12 and over who reported that they usually have pain or discomfort."
19,"Canada and provincial estimates are based on sub-sample weights for 2005 and 2003 data."
20,"Population aged 15 and over who reported having pain or discomfort that prevents activities."
21,"Population aged 12 and over who reported being limited in selected activities (home, school, work and other activities) because of a physical condition, mental condition or health problem which has lasted or is expected to last 6 months or longer."
22,"Population aged 12 and over who reported being a current smoker."
23,"Daily smoker refers to those who reported smoking cigarettes every day."
24,"Does not take into account the number of cigarettes smoked."
25,"Occasional smoker refers to those who reported smoking cigarettes occasionally. This includes former daily smokers who now smoke occasionally."
