id,name
2975,Laurence Fishburne
6384,Thomas A. Anderson / Neo
530,Trinity
1107983,Himself (archive footage)
52057,Narrator
110380,Himself
8349,Captain Benjamin L. Willard
3084,Colonel Walter E. Kurtz
3087,Lieutenant Colonel Bill Kilgore
18355,
64,Himself
1776,Himself
564,Himself
584,Himself (Archive footage)
529,Leonard Shelby
532,John Edward "Teddy" Gammell
180659,
1280183,
2787630,Self/Narrator
89289,Self/Cameo (archive footage)
2102583,Himself
73988,Himself
2803017,Self (archive footage)
2954,Narrator
33663,Himself (archive footage)
937663,Self
1931175,Self
1700943,Self
938972,Self
1236595,Self
559610,Self
2198533,Self
2699648,Self
1209864,Self - Narrator (voice)
2685726,Green Book Excerpts Narrator (voice)
2764421,Self - Smithsonian Institute Member
2535,Detective Martin
225620,Richard Lazard
1038,Clarice M. Starling
4173,Dr. Hannibal Lecter
349,Jack Crawford
4587,On-Camera Host
9780,(voice)
19011,Self
146687,Self
1122373,Himself
1122374,Himself
1122375,Himself
11367,Josh Lyman
31028,Toby Ziegler
3266,Joey Franelli
36059,Brenda Franelli
1179102,herself
21010,June Michels
101032,
928944,Himself
2022250,Himself
9979,Himself
514,Francis "Frank" Costello
6193,William "Billy" Costigan Jr.
1892,Staff Sgt. Colin Sullivan
7796,Mary (voice)
851784,Violet (voice)
125025,Jessie (voice)
122889,John Joseph Alden (voice)
2641,Roy Tilden
72028,Moshe
4724,Charles Cooper
66743,Jeff Zarrillo
1461,David Boies
2098136,Himself
2098137,Himself
9857,Father Barry
5248,Johnny Friendly
1158,Don Michael Corleone
3085,Santino "Sonny" Corleone
1662371,Archive Footage
82702,himself
65605,himself
47775,himself
4483,Himself - Narrator
13570,Himself (archive footage)
3417,Himself
6729,Himself
491,Himself
8406,Himself
103829,Arnold Hillerman
515,Ruth Hillerman
380,Don Vito Corleone
84678,Himself (archive footage)
106179,Jeff Dillon
10190,Leona Purdy
5250,Ben Welcome
3810,Himself
72305,Herself
44735,Himself
3037,Narrator
4951,Himself
8487,Atticus Finch
8490,Dill Harris
6838,Sheriff Heck Tate
7073,Host
27991,Himself
44038,Herself
11784,Himself
1415341,Himself
1267653,Himself
1003,Léon Montana
524,Mathilda Lando
3894,Bruce Wayne / Batman
1810,Joker
3895,Alfred Pennyworth
10980,Harry Potter
10989,Ron Weasley
10990,Hermione Granger
219479,Himself
1101349,Himself
5064,Narrator
488,Himself
2559324,TV Interviewer
27888,Himself
2303,Self
5293,Self
1,Himself
1032,Himself - Host / Narrator
1150,Himself
489,
55983,Himself / Kermit the Frog (archive footage)
7908,Himself
134,Himself
1006721,Self
14538,Himself
7779,Himself
1820819,Himself
569,Himself
46300,Spike
27889,Himself
1331,Himself
10850,Himself
3223,Himself
1408141,
1386798,Archive Footage
100709,Self/Cameo
21111,Self/Cameo (archive footage)
2802990,Self/Cameo (archive footage)
2803001,Self/Cameo (archive footage)
13348,Self/Cameo (archive footage)
117418,
1188876,
61399,Himself
1701850,Himself
1723195,Himself
1050881,
1074129,Self (archive footage)
2066306,Self
173729,Self
1184462,
72129,Herself
10943,Himself
27972,Himself
1072882,Grace The Reporter
1987684,John Murphy
1145892,Himself
227811,himself
1222706,himself
1167702,Himself
1167703,Himself
1748,Himself
2323039,
2339577,Herself
10127,Narrator
1229169,Himself (Archive Material)
1816204,Himself
1816207,Himself
56446,John Cena
151043,Randy Orton
77120,Austin
2399215,Self (archive footage)
2763159,Self - Interviewee
2769274,Self - Interviewee
1314544,Self
998458,Self
1923219,Self
2569912,Self - Narrator (voice)
2601848,Self - Politician
1173567,Self - Journalist
21216,Lucky Santangelo
58792,Lennie Golden
16620,Hulk Hogan
2161106,Self
2161107,Self
2161104,Self
2706019,Self - Artist Creator of Pepe the Frog
2767011,Self - Artist Matt's Partner
2255261,Self - Narrator (voice)
4960,Self (archive footage)
15753,Self (archive footage)
1103791,Self
95678,Self (archive footage)
567335,Himself
115788,Triple H
112219,Himself
937664,Himself
937665,Himself
2791669,Herself
2791670,Herself
1262488,Self
10055,Self
81724,Self
27011,Herself
2238924,Herself
2130,John P. Jones (voice)
16431,Ward Hill Lamon (voice)
2203,Charles Sumner (voice)
504777,Himself
561450,Himself
1087302,Himself
21353,
105762,
139,The Bride
140,O-Ren Ishii
21563,Jon
1922617,Bobbi Kristina
587035,Nick Gordon
154382,Dr. Masters
31134,David Jones
74613,Kamel Jackson
2545,Himself
138,Himself
1222355,Himself also World News Network's news anchor Barry Nolan in dramatization
8984,Himself
1220781,Herself
115002,Himself
7447,Himself
88620,Paige Michalchuk
19961,Mia Jones
180986,Manny Santos
1142230,Jessica
1142232,Johanne
13,Tom
5049,John Merrick
10774,Mrs. Kendal
39187,Anne
34546,The Man
9560,
689,Jolie
8258,Jesse Dalton
12021,Rachel
18248,Pooty
59219,TJ Waggs
9825,Mairead
1137,Mara
11770,Himself
8891,Himself
12852,Himself
3800,Herself
33181,King Solomon
63611,Jeroboam
53574,Meade Howell
2710,Himself
44796,Self
77896,Self
1897,Himself (Archive footage)
18471,Himself
74036,Himself
35705,Herself - Host
143242,Himself - Host
56323,22 (voice)
16828,Steve Rogers / Captain America
103,Bruce Banner / Hulk
1189929,
7904,
134328,Herself
2801284,
1670479,Himself
1625013,Himself
84384,Himself
1322032,Himself
1322033,Himself
2203808,Self (archive footage)
1442410,
1442411,
1306064,Self (archive footage)
174981,Self (archive footage)
28626,
3614,
37759,Self - Narrator (voice)
20056,Self
2330903,Self
287,Detective David Mills
192,Detective Lt. William Somerset
12052,Tracy Mills
26009,Hannah
1067583,Rose
33,Narrator
5149,Herself
2144,Himself
141,Himself
2505,Himself
8213,Mike
6104,Stefan
10698,Paolo
76184,Bruce
30672,Paul Floret
1183966,Luther Lucas
45002,Pamela Balsam
20861,Dr. Winifred Sisters
39770,
34721,
16896,Grif Henderson
8857,Jenny Henderson
15395,Phillipe Maspere
56890,himself
46393,Herself
8893,Susan Reinert
1162,Jay Smith
9789,
6449,
20212,Richmond Flowers Jr.
1204,Candy Hutchins
21818,Juanita Hutchins
1204293,Himself
27116,William Worrall Mayo
1066777,Self
65013,Self
4808,Self
67315,
2734157,
2045089,Jeannette Rankin
4687,Storyteller
7071,Nurse Mildred Ratched
518,Martini
10409,Wendy Torrance
7077,Dick Hallorann
240,Self (archive footage)
34947,Narrator (voice)
1262612,Self
21200,Self
61110,Self
707,Self
2282,Dr. John Cawley
3899,Mr. Saito
24045,Arthur
21007,Donnie Azoff
234352,Naomi Lapaglia
27319,Dr. King Schultz
9261,Himself
2157,Sean Maguire
880,Chuckie Sullivan
19498,Lee Iacocca
31,Captain John H. Miller
3197,Technical Sergeant Michael Horvath
53,Himself
28782,Herself
10297,Joseph "Coop" Cooper
83002,Murphy "Murph" Cooper
1813,Dr. Amelia Brand
11665,Charlie
2171,Dr. Simon
176557,Glen
19453,Silky
1141310,Royce Cannon
81316,Bill
10767,Connie
1366083,Niki Presser
11477,Henry Hill
4517,Tommy DeVito
204,Black Beauty (voice)
20508,John Manly
2034418,Noah Flynn
518627,Lee Flynn
1535219,Ronny Feldman
21029,
123725,
76512,Himself
6046,Himself
57637,Himself
69230,Himself
1205143,
1205144,
9805,Herself
24589,Josef
24590,Lea
57905,Jaime Sommers
18589,Steve Austin
105270,Michael Austin
2638,Roger O. Thornhill
2639,Eve Kendall
2091,Phillip Vandamm
47879,Jake Seiling
104895,Arnie Green
59846,Brenda Goodman
1339982,Narrator
69342,Himself - Producer
1524,Himself - Writer
163630,Self
5374,Self
190,Narrator
14701,Herself
32377,Cardone
9762,Alosi
1936,Juror 1
5247,Juror 2
30233,Ann Winters
19550,Tice Collins
80237,Charlotte Campbell
1159,Manny Ribera
1160,Elvira Hancock
39996,
22082,Claire
2057865,Lorna Flynn
1778612,Jake Brower
1848881,Jessica
1227278,Herself - Backing Vocals Duet Partner on "I Just Can't Stop Loving You"
2636676,Himself - Lead Guitar Rhythm Guitar
134710,Pat
134711,Amy
2687948,Himself - Keyboards
108881,Himself - Keyboards
926,Michael's Girlfriend
1905,Narration (voice)
4610,Himself
16178,Himself
10750,
1234966,
2426206,Himself
2284427,Himself
5657,
11510,Kid
18793,Himself (archive footage)
110001,
8851,Herself
16303,Herself
66586,Herself
122750,Herself
109897,Herself
6352,Herself - Host
13301,Himself
54421,
53397,
1201284,Presenter
140567,Himself
20156,Himself
4347,Himself
4299,Himself
37934,Himself (archive footage)
15310,Himself (archive footage)
45042,
553721,
1789239,
990578,himself
1056814,Referee
107375,Himself
2712640,Self
65606,Self
87919,The Undertaker
4135,Himself - Narrator
13717,Himself
73931,Herself - Host
142439,Himself
109404,Himself
863,Stephen Minch
21278,Self
13724,Self
10400,
19803,Voice Over
1084298,Lord Homelander
35,Bess Alcott Steed Garner
21399,Arthur
1221217,
2297235,Narrator
10930,
2140901,
130,Himself
33185,Himself
14782,Himself
147,Himself
32396,Himself
36190,Herself
44712,Emma Symms
2056726,Frank Carlin
66776,Herself
40389,Herself
5699,Herself
4512,Maximilian 'Max' Bercovicz
4513,Deborah Gelly
4430,Ginger McKenna
14702,Vickie LaMotta
4690,Nikanor "Nick" Chevotarevich
3096,Stan
45001,Himself
73421,Arthur Fleck / Joker
1545693,Sophie Dumond
1259,Himself
19665,Himself
67773,George Banks
3092,Nina Banks
